temperature,vibration,pressure,humidity,oil_quality,failure
63.28,7.82,4.86,53.51,56.64,0
78.97,0.28,5.6,38.08,66.24,0
77.32,5.45,5.19,57.29,67.63,0
69.75,0.01,8.34,38.33,49.71,0
71.41,2.71,4.02,47.4,75.73,0
85.33,3.73,4.77,5.72,38.57,0
62.9,2.28,6.17,37.92,49.14,0
76.57,3.05,3.96,36.52,84.3,0
67.57,0.03,7.89,16.63,50.62,0
67.39,1.03,5.01,56.53,69.89,0
83.19,4.75,5.84,39.22,94.42,0
79.9,3.57,5.03,17.73,64.67,0
79.76,1.77,6.53,54.02,89.19,0
85.67,6.81,3.41,61.34,40.62,0
70.25,0.45,7.36,42.98,54.38,0
78.18,2.6,5.35,22.35,68.98,0
66.28,2.24,5.99,16.74,46.43,0
73.89,5.04,3.89,26.63,56.67,0
68.44,3.62,5.51,32.55,67.6,0
71.16,3.23,3.55,70.65,68.02,0
77.14,1.11,6.76,41.94,59.36,0
60.18,5.66,3.07,25.91,32.03,0
95.11,2.96,5.23,35.78,53.36,1
57.93,3.79,4.42,61.06,39.76,0
55.43,1.63,2.66,53.33,63.64,0
83.9,1.24,3.6,45.7,64.27,0
79.5,7.25,5.67,42.47,62.72,0
77.49,0.93,3.66,45.06,48.02,0
77.54,0.86,4.0,47.34,34.88,0
69.85,7.2,5.56,42.09,90.72,0
59.23,5.1,6.37,46.53,65.35,0
70.91,2.69,5.99,40.49,59.37,0
61.87,6.62,4.93,32.16,63.79,0
81.7,4.62,5.33,41.05,40.86,0
68.24,4.08,5.18,49.95,88.19,0
60.09,4.06,3.45,34.09,52.13,0
66.14,4.66,5.42,51.31,62.97,0
74.96,4.76,3.43,57.45,73.74,0
63.24,8.99,5.92,50.12,77.91,1
60.13,3.01,5.2,36.58,64.57,0
72.92,3.09,1.75,46.44,46.44,1
72.94,0.41,6.47,47.3,75.77,0
63.92,3.37,4.22,47.99,80.3,0
64.35,8.16,4.09,67.35,86.11,1
72.78,5.96,6.43,27.63,74.77,0
52.62,2.14,4.76,48.1,100.0,0
53.11,3.58,5.9,39.0,67.68,0
61.38,0.26,4.02,26.32,68.6,0
67.44,1.08,6.21,26.13,87.13,0
73.73,3.87,5.3,58.16,94.0,0
87.7,2.26,5.61,23.94,89.99,0
80.29,0.89,4.73,49.48,63.56,0
68.08,4.72,7.44,46.97,78.74,0
69.77,3.29,7.81,32.13,84.13,0
57.97,0.42,1.69,57.54,66.11,1
69.78,1.69,6.39,27.28,49.73,0
66.54,2.07,3.38,36.76,46.94,0
73.87,0.47,5.76,28.63,71.78,0
60.07,1.17,2.33,56.47,80.78,0
76.23,6.32,5.6,62.75,56.75,0
88.39,3.26,3.75,48.73,51.23,0
68.69,2.84,4.31,83.09,55.72,1
74.82,3.03,4.35,51.69,67.7,0
78.28,0.66,3.9,54.48,79.03,0
65.19,4.53,3.94,60.1,71.71,0
72.69,3.17,4.4,34.91,65.12,0
70.15,1.61,4.77,51.12,90.02,0
71.17,1.98,5.48,30.5,100.0,0
60.72,0.43,7.79,25.23,65.21,0
70.29,2.48,3.58,61.38,93.93,0
75.98,2.9,5.19,32.25,52.63,0
87.41,2.42,6.16,47.75,85.58,0
81.51,3.64,3.94,69.47,50.19,0
95.84,3.3,1.61,17.83,58.63,1
60.79,4.08,2.14,54.77,64.27,0
80.47,5.86,1.67,44.67,30.39,1
72.2,4.98,7.31,43.94,32.19,0
96.28,5.89,5.92,45.89,49.69,1
60.3,1.38,6.13,45.26,88.83,0
59.92,2.23,6.47,52.85,60.69,0
62.81,5.13,4.14,29.23,81.48,0
44.51,5.18,8.45,52.53,35.39,0
63.69,1.8,5.5,28.09,71.48,0
60.89,5.03,4.89,76.56,72.92,1
71.8,1.14,6.67,43.43,47.72,0
74.1,4.7,6.0,47.69,98.51,0
92.51,3.43,7.0,71.56,42.38,1
81.41,0.04,7.09,33.38,60.63,0
63.08,2.41,4.47,44.83,100.0,0
59.22,8.96,5.28,23.85,47.87,1
75.9,4.01,3.64,30.45,53.82,0
54.16,9.25,2.56,23.64,67.8,1
91.98,0.11,6.26,56.97,41.1,1
84.15,5.38,6.44,53.54,74.3,0
64.37,2.84,2.03,38.44,32.95,0
49.44,3.5,3.92,37.4,65.02,0
86.25,5.08,5.08,59.56,91.04,0
68.63,5.59,5.23,44.92,76.53,0
84.85,1.5,8.07,31.99,64.26,0
50.87,6.1,4.06,61.1,59.21,0
62.81,2.17,4.74,42.88,63.47,0
70.06,3.09,5.97,55.16,59.83,0
70.56,2.42,4.47,46.08,72.16,0
64.6,0.66,4.24,76.17,76.61,1
77.47,7.42,4.12,41.9,67.58,0
57.19,3.62,5.35,14.87,77.62,0
68.29,6.22,4.74,41.58,74.25,0
71.44,6.11,6.02,49.0,42.57,0
76.17,1.08,5.54,51.9,22.96,1
78.54,6.54,0.63,57.13,68.1,1
56.5,4.76,2.37,36.29,56.9,0
51.59,0.9,4.25,68.46,68.65,0
85.33,4.62,6.47,59.47,95.09,0
73.99,0.94,4.02,46.96,60.17,0
61.02,7.52,5.56,34.59,70.59,0
88.61,5.53,5.9,73.92,49.78,0
71.39,3.32,5.81,55.94,73.85,0
84.15,6.66,4.18,37.62,50.94,0
70.81,0.45,3.28,66.03,83.01,0
94.73,1.63,3.03,48.3,67.21,1
91.06,2.87,9.46,67.64,62.38,1
67.01,9.09,5.68,32.35,35.52,1
81.66,0.82,7.76,41.99,40.29,0
77.74,0.77,3.75,65.73,75.44,0
86.42,0.11,6.87,34.97,85.94,0
58.42,5.77,4.28,41.2,69.35,0
78.23,2.01,4.96,3.93,60.9,0
82.7,3.1,4.57,51.18,65.87,0
48.9,5.41,3.68,62.31,62.42,0
55.8,3.1,3.7,31.18,52.34,0
45.53,4.01,4.94,51.71,40.68,0
66.77,4.84,4.12,36.88,40.85,0
78.61,2.42,5.19,22.36,52.63,0
88.03,3.08,3.74,40.12,66.66,0
70.89,4.1,6.06,36.38,41.08,0
89.54,5.67,4.31,46.91,63.68,0
53.44,1.52,7.46,40.41,51.48,0
49.56,4.05,4.92,65.06,34.92,0
69.33,5.2,4.85,36.63,53.44,0
74.61,5.82,7.41,43.06,69.26,0
69.61,4.0,4.26,48.59,53.64,0
45.19,4.17,4.39,44.24,91.59,0
68.93,2.09,3.95,36.97,76.23,0
54.35,4.75,5.31,45.77,83.98,0
78.04,5.63,3.9,52.87,100.0,0
74.4,3.64,6.16,58.48,54.7,0
58.72,9.73,4.93,13.23,39.2,1
63.83,0.41,6.26,52.6,50.87,0
57.29,3.91,6.09,34.88,66.2,0
69.25,0.56,4.23,62.37,72.06,0
81.46,5.7,3.89,58.99,68.34,0
58.17,0.45,4.51,58.88,56.95,0
76.05,0.17,5.01,36.24,72.44,0
63.64,1.92,5.5,24.11,85.55,0
60.49,4.16,5.67,64.07,51.45,0
68.72,2.01,4.95,62.53,48.26,0
57.58,2.04,3.98,14.95,100.0,0
63.36,3.05,4.12,65.63,44.74,0
55.63,2.89,5.78,50.32,80.24,0
93.58,7.22,4.02,46.98,61.46,1
70.42,5.21,5.84,32.66,91.75,0
61.6,2.69,5.89,60.22,59.79,0
72.57,8.74,7.3,38.1,72.16,1
68.65,4.73,4.28,38.03,41.36,0
67.35,1.08,4.51,12.96,52.79,0
77.37,4.14,1.53,33.84,69.43,1
79.09,4.84,3.59,30.12,53.01,0
63.63,1.78,3.57,13.85,41.85,0
63.09,0.87,5.76,68.38,100.0,0
66.7,3.72,7.71,43.13,64.64,0
42.38,2.6,5.87,23.61,85.63,0
51.82,7.2,6.49,30.54,99.32,0
86.4,5.35,3.93,36.29,55.59,0
89.74,1.9,3.2,36.06,63.46,0
67.01,4.56,4.64,57.01,66.38,0
76.92,6.67,4.06,40.96,73.48,0
73.74,0.02,3.71,46.48,85.11,0
106.95,0.94,5.33,41.03,82.57,1
83.43,3.47,3.22,62.44,77.95,0
68.46,3.59,6.24,65.66,59.22,0
58.53,3.37,4.4,42.99,64.86,0
50.72,2.72,4.93,30.81,42.44,0
72.44,2.68,5.15,43.36,77.83,0
60.92,4.46,4.3,0.0,100.0,0
52.93,6.33,6.9,49.7,69.72,0
62.24,2.3,2.59,24.62,90.15,0
57.02,9.6,6.93,41.68,80.09,1
90.25,8.4,4.48,52.07,55.19,1
80.58,6.82,6.38,36.45,49.07,0
69.9,5.06,5.3,38.42,44.52,0
87.76,8.52,6.28,48.87,67.18,1
70.93,2.77,4.82,36.63,75.02,0
59.66,1.42,5.36,58.87,75.96,0
88.28,2.19,6.65,56.59,44.55,0
76.47,0.99,5.14,53.51,87.2,0
57.55,3.8,7.0,35.55,55.02,0
67.72,4.25,5.53,53.6,67.22,0
59.49,4.0,3.9,33.86,53.43,0
53.41,3.47,4.47,43.69,43.71,0
81.11,3.83,6.33,5.46,42.31,0
92.91,7.84,3.14,62.36,77.8,1
53.22,5.05,6.19,70.9,64.81,0
76.76,5.81,4.45,48.37,45.2,0
62.19,3.98,3.07,21.28,53.83,0
64.15,0.54,5.31,41.73,90.62,0
62.89,1.03,3.95,46.07,80.87,0
59.63,8.71,4.14,45.24,76.05,1
70.58,2.17,4.06,83.12,100.0,1
60.03,1.96,5.17,41.33,92.05,0
73.25,4.11,4.42,36.34,65.65,0
69.4,4.88,5.59,47.44,55.23,0
67.13,5.19,6.52,42.86,100.0,0
59.11,7.94,5.81,33.76,86.7,0
63.08,7.25,7.71,18.57,55.19,0
79.06,1.47,8.08,55.99,41.04,0
76.01,5.92,4.56,32.04,24.56,1
58.27,2.54,3.27,29.9,41.97,0
71.19,3.16,4.57,32.83,56.34,0
79.02,0.77,5.18,23.07,89.1,0
49.97,0.73,8.34,54.84,82.81,0
76.52,3.42,4.44,52.84,69.83,0
62.05,1.11,5.42,47.85,76.08,0
76.85,5.82,3.98,55.65,50.94,0
60.84,2.8,4.48,51.47,41.46,0
48.34,4.27,3.18,53.82,60.84,0
50.47,6.92,2.81,72.37,82.78,0
70.58,0.21,7.04,59.73,65.82,0
73.12,1.69,6.6,47.64,77.77,0
59.15,3.95,4.45,30.99,65.66,0
77.66,4.28,6.6,21.06,41.64,0
50.06,6.26,3.04,18.61,70.18,0
69.21,5.67,4.74,59.2,58.08,0
55.47,3.74,5.26,36.63,84.52,0
62.18,4.26,6.9,46.19,36.55,0
70.57,4.33,5.3,30.7,92.58,0
59.68,0.17,5.82,78.08,42.81,1
65.39,3.11,4.3,18.06,59.9,0
82.08,4.12,5.4,47.08,38.28,0
63.08,4.65,6.9,39.62,83.26,0
80.03,1.19,2.58,45.28,44.94,0
56.44,0.33,6.7,40.19,55.21,0
76.36,2.91,4.69,31.63,83.7,0
87.3,8.42,2.89,28.23,55.84,1
40.34,1.45,4.6,75.73,63.6,1
60.44,6.43,6.94,40.53,75.52,0
76.92,7.46,4.28,50.13,71.34,0
67.56,3.61,5.45,21.09,68.85,0
74.45,1.8,2.58,13.25,54.48,0
62.75,4.78,2.26,34.85,57.92,0
71.04,3.99,3.38,58.1,72.84,0
68.13,1.35,6.52,45.42,59.85,0
84.01,1.85,4.92,36.9,69.59,0
73.05,4.63,6.65,51.45,30.43,0
74.05,5.83,6.74,36.74,64.51,0
65.06,2.69,3.86,65.65,74.6,0
64.15,3.33,7.35,66.26,76.93,0
64.81,5.17,4.18,36.34,61.22,0
74.73,3.07,6.5,33.35,70.75,0
64.95,2.75,6.44,43.9,54.13,0
73.48,1.61,5.1,51.4,90.45,0
94.9,1.57,5.1,40.89,58.87,1
80.45,10.17,5.48,60.69,87.95,1
66.09,3.01,5.17,48.98,63.02,0
84.41,6.91,4.41,61.32,44.06,0
65.1,7.71,4.29,28.17,60.8,0
45.54,3.04,4.43,36.11,47.04,0
57.9,4.42,6.83,53.0,60.08,0
47.55,3.76,2.62,45.79,46.49,0
65.78,0.53,4.25,42.19,60.89,0
70.22,0.38,4.51,37.21,82.71,0
90.12,3.62,4.66,46.3,90.77,1
73.92,2.44,5.45,66.42,53.94,0
67.37,8.23,2.98,14.86,78.04,1
79.95,2.91,6.54,42.72,92.35,0
43.47,8.38,6.33,43.37,44.06,1
72.83,2.31,6.01,28.69,34.17,0
79.25,8.28,4.69,42.66,40.12,1
52.26,4.77,3.89,20.41,64.14,0
83.73,4.91,4.51,36.24,25.85,1
74.06,2.22,5.09,40.97,85.66,0
65.02,4.94,6.0,44.92,24.79,1
77.59,7.73,4.88,73.13,64.83,0
97.25,3.14,5.54,32.76,70.77,1
72.18,2.65,4.35,25.13,77.45,0
72.98,2.88,5.43,59.88,85.33,0
64.49,7.55,4.63,0.0,94.53,0
59.8,5.64,5.4,35.71,72.07,0
79.96,7.12,2.35,40.11,54.31,0
59.73,4.28,5.73,30.88,68.39,0
70.86,3.6,5.81,43.58,72.14,0
64.27,4.56,5.79,35.27,69.33,0
75.75,6.18,3.52,18.88,56.4,0
74.0,2.88,3.93,54.27,86.74,0
82.45,6.92,3.7,54.85,58.01,0
63.88,4.41,5.49,30.19,62.86,0
66.76,2.52,5.99,36.88,49.87,0
58.25,5.71,3.96,72.84,81.69,0
64.67,0.32,6.97,51.73,100.0,0
74.53,5.65,6.95,45.0,86.61,0
79.08,5.75,5.21,69.26,45.68,0
58.93,4.32,5.56,20.68,50.46,0
80.44,4.86,2.48,14.51,36.9,0
86.27,6.25,4.21,47.5,70.49,0
74.96,2.26,3.12,57.6,73.66,0
92.52,5.48,3.64,19.34,52.85,1
60.71,6.41,5.77,25.51,55.05,0
55.06,7.9,6.13,56.9,30.76,0
48.66,0.74,6.2,27.72,62.98,0
87.95,4.52,5.36,41.16,52.46,0
77.85,1.1,5.79,48.15,52.63,0
69.33,0.99,2.62,59.32,100.0,0
73.36,4.4,3.07,40.4,77.02,0
56.49,3.69,4.69,52.39,64.49,0
99.35,6.36,5.9,26.41,69.03,1
71.55,2.63,4.33,53.83,55.93,0
71.31,3.16,2.96,31.37,82.44,0
78.71,4.03,3.96,24.29,60.08,0
75.77,1.35,3.6,75.98,45.45,1
72.69,1.69,2.41,72.45,94.35,0
60.51,6.29,8.34,47.22,50.83,0
75.66,2.13,6.85,68.21,100.0,0
92.58,6.46,2.04,40.11,81.33,1
86.15,5.02,2.12,42.96,77.24,0
89.12,0.37,3.79,42.35,47.71,0
63.87,4.83,2.77,31.3,91.47,0
58.12,4.81,8.57,9.84,100.0,0
68.49,4.56,3.8,40.36,46.75,0
70.67,3.15,5.54,64.54,63.53,0
83.13,1.15,4.24,49.14,48.86,0
49.69,6.87,3.25,57.22,58.8,0
88.35,3.25,6.57,50.9,61.93,0
68.1,1.29,5.98,32.3,88.31,0
64.88,4.64,4.91,48.72,39.37,0
